lat_recipient,lng_recipient,recipient_id,donor_id,lat_donor,lng_donor
40.96323131279486,28.85475478494494,R1,D2,40.955005863673826,28.86696322144465
40.949562036428574,28.86807244734175,R2,D2,40.955005863673826,28.86696322144465
40.94172400318484,28.86893183380334,R3,D2,40.955005863673826,28.86696322144465
40.943495927899605,28.870720201628107,R11,D2,40.955005863673826,28.86696322144465
40.94898879755153,28.88548600328974,R15,D2,40.955005863673826,28.86696322144465
40.96966235136304,28.864705458439783,R21,D2,40.955005863673826,28.86696322144465
40.95709449962387,28.847366520205853,R27,D2,40.955005863673826,28.86696322144465
40.954870891426445,28.85638611215509,R36,D2,40.955005863673826,28.86696322144465
40.9556811457207,28.852715739582514,R40,D2,40.955005863673826,28.86696322144465
40.94899947677464,28.864046283946717,R44,D2,40.955005863673826,28.86696322144465
41.01880511893636,28.79338018955345,R4,D1,41.027885359691574,28.8075032265668
41.03030498240724,28.788370424120224,R5,D1,41.027885359691574,28.8075032265668
41.01063618136644,28.80188035127439,R7,D1,41.027885359691574,28.8075032265668
41.04367748784665,28.815177573858332,R22,D1,41.027885359691574,28.8075032265668
41.02325118276345,28.8028459290311,R23,D1,41.027885359691574,28.8075032265668
41.03285250122168,28.80612058355509,R29,D1,41.027885359691574,28.8075032265668
41.02319061583223,28.81292882700266,R30,D1,41.027885359691574,28.8075032265668
41.02554382594434,28.80516185699731,R37,D1,41.027885359691574,28.8075032265668
41.03436224507258,28.822733525130882,R38,D1,41.027885359691574,28.8075032265668
41.01775704848823,28.810645699892753,R50,D1,41.027885359691574,28.8075032265668
40.98218764505868,28.81251029154654,R6,D5,40.98438436393705,28.808939165831422
40.97736383299828,28.805662544365443,R8,D5,40.98438436393705,28.808939165831422
40.9873455667077,28.81154971855322,R9,D5,40.98438436393705,28.808939165831422
40.98535513943053,28.81862561573675,R10,D5,40.98438436393705,28.808939165831422
40.98443549850348,28.80659329449767,R12,D5,40.98438436393705,28.808939165831422
40.98046328240573,28.7943040163501,R13,D5,40.98438436393705,28.808939165831422
40.97908676189938,28.814071840162555,R41,D5,40.98438436393705,28.808939165831422
40.976299427908124,28.803921595395575,R42,D5,40.98438436393705,28.808939165831422
40.99353838511407,28.81222667692802,R46,D5,40.98438436393705,28.808939165831422
40.99916330438447,28.803756463648686,R47,D5,40.98438436393705,28.808939165831422
41.05073042572849,28.985379444673246,R14,D3,41.047294242832805,29.003009846226874
41.04052502282975,29.00912660911528,R16,D3,41.047294242832805,29.003009846226874
41.05053508252675,28.99915902342271,R17,D3,41.047294242832805,29.003009846226874
41.05060687714684,29.0127652974981,R18,D3,41.047294242832805,29.003009846226874
41.05467890863276,29.004723529038774,R25,D3,41.047294242832805,29.003009846226874
41.03890206760058,28.99991772246836,R28,D3,41.047294242832805,29.003009846226874
41.03250902292913,28.995811404142927,R31,D3,41.047294242832805,29.003009846226874
41.046137760008925,28.99999880927098,R32,D3,41.047294242832805,29.003009846226874
41.05760423805776,29.012322647418035,R33,D3,41.047294242832805,29.003009846226874
41.042687855123205,29.013581068489064,R45,D3,41.047294242832805,29.003009846226874
41.07364417116252,28.824225060022187,R19,D4,41.07843591354097,28.826081649788826
41.082049869596055,28.841462015453484,R20,D4,41.07843591354097,28.826081649788826
41.079353521306324,28.806205960642817,R24,D4,41.07843591354097,28.826081649788826
41.07771581232517,28.836116978767745,R26,D4,41.07843591354097,28.826081649788826
41.08205227379145,28.819630452242773,R34,D4,41.07843591354097,28.826081649788826
41.05223846250007,28.834300674832576,R35,D4,41.07843591354097,28.826081649788826
41.07930638422335,28.823091576284167,R39,D4,41.07843591354097,28.826081649788826
41.06737256380091,28.81411958354802,R43,D4,41.07843591354097,28.826081649788826
41.08656117176491,28.839644050074533,R48,D4,41.07843591354097,28.826081649788826
41.07807765314987,28.841728086346965,R49,D4,41.07843591354097,28.826081649788826
